09:35:12 [vite] (client) Forced re-optimization of dependencies

  VITE v6.4.3  ready in 232 ms

  ➜  Local:   http://127.0.0.1:5173/
  ➜  press h + enter to show help
09:35:51 [vite] vite.config.js changed, restarting server...
09:35:51 [vite] (client) Forced re-optimization of dependencies
09:35:51 [vite] server restarted.
09:38:13 [vite] (client) hmr update /App.jsx
09:38:13 [vite] (client) hmr update /App.jsx
09:38:20 [vite] (client) hmr update /App.jsx
09:38:23 [vite] (client) hmr update /App.jsx
09:38:33 [vite] (client) hmr update /App.jsx
09:38:34 [vite] (client) hmr update /App.jsx
09:38:35 [vite] (client) hmr update /App.jsx
09:38:42 [vite] (client) hmr update /App.jsx
09:38:43 [vite] (client) hmr update /App.jsx
09:38:45 [vite] (client) hmr update /App.jsx
09:39:05 [vite] (client) hmr update /App.jsx
09:39:13 [vite] (client) hmr update /App.jsx
09:39:18 [vite] (client) hmr update /App.jsx
09:39:20 [vite] (client) hmr update /App.jsx
09:39:22 [vite] (client) hmr update /App.jsx
09:39:24 [vite] (client) hmr update /App.jsx
09:39:31 [vite] (client) hmr update /App.jsx
09:39:34 [vite] (client) hmr update /App.jsx
09:39:35 [vite] (client) hmr update /App.jsx
09:39:37 [vite] (client) hmr update /App.jsx
09:39:44 [vite] (client) hmr update /App.jsx
09:39:46 [vite] (client) hmr update /App.jsx
09:39:47 [vite] (client) hmr update /App.jsx
09:39:49 [vite] (client) hmr update /App.jsx
09:39:59 [vite] (client) hmr update /App.jsx
09:40:04 [vite] (client) hmr update /App.jsx
09:40:08 [vite] (client) hmr update /App.jsx
09:40:13 [vite] (client) hmr update /App.jsx
09:40:21 [vite] (client) hmr update /App.jsx
09:40:25 [vite] (client) hmr update /App.jsx
09:40:30 [vite] (client) hmr update /App.jsx
09:40:32 [vite] (client) hmr update /App.jsx
09:40:42 [vite] (client) hmr update /App.jsx
09:40:49 [vite] (client) hmr update /App.jsx
09:40:52 [vite] (client) hmr update /App.jsx
09:40:53 [vite] (client) hmr update /App.jsx
09:40:56 [vite] (client) hmr update /App.jsx
09:41:00 [vite] (client) hmr update /App.jsx
09:41:06 [vite] (client) hmr update /App.jsx
09:41:07 [vite] (client) hmr update /App.jsx
09:41:10 [vite] (client) hmr update /App.jsx
09:41:11 [vite] (client) hmr update /App.jsx
09:41:12 [vite] (client) hmr update /App.jsx
09:41:14 [vite] (client) hmr update /App.jsx
09:41:20 [vite] (client) hmr update /App.jsx
09:41:27 [vite] (client) hmr update /App.jsx
09:41:30 [vite] (client) hmr update /App.jsx
09:41:33 [vite] (client) hmr update /App.jsx
09:41:38 [vite] (client) hmr update /App.jsx
09:41:46 [vite] (client) hmr update /App.jsx
09:41:48 [vite] (client) hmr update /App.jsx
09:41:50 [vite] (client) hmr update /App.jsx
09:41:52 [vite] (client) hmr update /App.jsx
09:41:55 [vite] (client) hmr update /App.jsx
09:42:03 [vite] (client) hmr update /App.jsx
09:42:07 [vite] (client) hmr update /App.jsx
09:42:10 [vite] (client) hmr update /App.jsx
09:42:13 [vite] (client) hmr update /App.jsx
09:42:14 [vite] (client) hmr update /App.jsx
09:42:17 [vite] (client) hmr update /App.jsx
09:42:39 [vite] (client) hmr update /styles.css
09:42:41 [vite] (client) hmr update /styles.css
09:42:42 [vite] (client) hmr update /styles.css
09:42:44 [vite] (client) hmr update /styles.css
09:42:46 [vite] (client) hmr update /styles.css
09:42:59 [vite] (client) hmr update /styles.css
09:43:21 [vite] (client) hmr update /styles.css
09:43:36 [vite] (client) hmr update /styles.css
09:43:37 [vite] (client) hmr update /styles.css
09:43:38 [vite] (client) hmr update /styles.css
09:43:46 [vite] (client) page reload versionWatch.js
09:43:47 [vite] (client) page reload versionWatch.js
09:44:03 [vite] (client) hmr update /App.jsx
09:44:05 [vite] (client) page reload main.jsx
